product_id,product_name,category,list_price
3001,Product 3001, Books ,251.56
3002,Product 3002,home,273.59
3003,Product 3003,electronics,270.49
3004,Product 3004,beauty,254.94
3005,Product 3005,home,197.67
3006,Product 3006,Home,131.63
3007,Product 3007, Beauty ,125.23
3008,Product 3008,Home,62.88
3009,Product 3009,sports,115.64
3010,Product 3010,Beauty,194.24
3011,Product 3011,Home,246.64
3012,Product 3012,gaming,129.84
3013,Product 3013,gaming,256.63
3014,Product 3014, Gaming ,321.71
3015,Product 3015,gaming,162.96
3016,Product 3016, Books ,110.32
3017,Product 3017,electronics,215.98
3018,Product 3018, Books ,299.89
3019,Product 3019,Books,327.59
3020,Product 3020,home,282.55
3021,Product 3021,Home,114.5
3022,Product 3022,Gaming,114.09
3023,Product 3023,Home,46.35
3024,Product 3024,Electronics,312.67
3025,Product 3025,Gaming,96.69
3026,Product 3026,home,147.65
3027,Product 3027, Gaming ,132.03
3028,Product 3028,Electronics,87.5
3029,Product 3029,Sports,300.75
3030,Product 3030,office,304.54
3031,Product 3031,Home,230.6
3032,Product 3032,beauty,226.49
3033,Product 3033, Books ,322.33
3034,Product 3034, Beauty ,182.65
3035,Product 3035,Office,181.09
3036,Product 3036, Office ,179.23
3037,Product 3037,Office,103.83
3038,Product 3038,Home,225.74
3039,Product 3039, Beauty ,221.56
3040,Product 3040,Beauty,313.69
3041,Product 3041,electronics,349.86
3042,Product 3042,beauty,80.04
3043,Product 3043, Office ,80.47
3044,Product 3044,office,66.29
3045,Product 3045,Home,241.65
3046,Product 3046,office,110.04
3047,Product 3047,gaming,58.68
3048,Product 3048, Electronics ,263.98
3049,Product 3049,Gaming,117.93
3050,Product 3050,Office,330.02
3051,Product 3051, Books ,230.9
3052,Product 3052,Sports,226.24
3053,Product 3053,Home,206.38
3054,Product 3054,electronics,328.97
3055,Product 3055, Books ,18.96
3056,Product 3056, Books ,284.14
3057,Product 3057, Gaming ,234.38
3058,Product 3058, Sports ,167.98
3059,Product 3059, Electronics ,348.43
3060,Product 3060, Office ,128.82
3061,Product 3061, Electronics ,341.29
3062,Product 3062,Office,279.61
3063,Product 3063,Home,122.71
3064,Product 3064,home,155.0
3065,Product 3065,gaming,304.37
3066,Product 3066,Books,320.08
3067,Product 3067,books,95.28
3068,Product 3068, Gaming ,121.79
3069,Product 3069,sports,306.75
3070,Product 3070,Electronics,326.63
3071,Product 3071, Beauty ,46.82
3072,Product 3072,home,10.61
3073,Product 3073, Office ,340.85
3074,Product 3074,Gaming,9.34
3075,Product 3075, Electronics ,189.43
3076,Product 3076, Gaming ,60.93
3077,Product 3077,home,58.12
3078,Product 3078, Office ,179.52
3079,Product 3079,Electronics,74.89
3080,Product 3080, Gaming ,170.43
3023,Product 3023,Home,46.35
3028,Product 3028,Electronics,87.5
3006,Product 3006,Home,131.63
3041,Product 3041,electronics,349.86
